        Id;Fecha de creación;Fecha de actualización;Titulo;Descripcion corta;Descripción;Alt;Pie;Origen;Autor;Realizador;Año;Titulo original;Referencia a la fuente;Streaming;Denegar descarga;Fecha inicio;Fecha fin;Crítico;Derechos;Subtitulos;Autoria;Preset Original;Preset Alta;Preset Media;Preset Baja;Temáticas;Categorias;Destinos de Publicación;Thumbs;Tags;Enlaces;Relacionados;Documentos adjuntos;Estado;
        7900;"21 Oct 2015 00:00:00";"23 Jul 2012 13:23:00";"Nuestros profesores: Alicia Cámara Muñoz-BORRAR";"Geografía e Historia: Historia del Arte - Alicia Cámara Muñoz nos explica por qué eligió estudiar Historia del Arte y qué es lo que más le gusta de su trabajo.";"Geografía e Historia: Historia del Arte - Alicia Cámara Muñoz nos explica por qué eligió estudiar Historia del Arte y qué es lo que más le gusta de su trabajo. Participantes: Alicia Cámara Muñoz, catedrática de Historia del Arte en la UNED";"Nuestros profesores: Alicia Cámara Muñoz-BORRAR";"";"UNED (20111021-sd-2897-4)";"";"Clara Gómez";"21/10/2015";"";"";"";"false";"21/10/2015";"21/10/2015 08:00";"false";"false";"";"false";"/resources/wav/1/1/1321441713511.wav";"";"/resources/wav/0/6/1321441714860.wav";"/resources/wav/1/3/1321441716231.wav";"HISTORIA , GEOGRAFÍA E HISTORIA";"Audios";"RC";"";"";"";"";"/resources/pdf/2/9/1328867062392.pdf (3698)
                    ";"UNPUB";
    11614;"02 Apr 2013 07:00:00";"22 Mar 2013 13:36:00";"Actividad física y nutrición ante la obesidad";"Ciencias - La obesidad se ha convertido en los últimos tiempos en la patología crónica de mayor relevancia...";"Ciencias - La obesidad se ha convertido en los últimos tiempos en la patología crónica de mayor relevancia. Hasta tal punto, que constituye una auténtica ""epidemia"" que afecta a casi 500 millones de personas. Además, no respeta fronteras, ni desarrollo económico, por lo que ya incluso ha recibido el apelativo de ""Globesidad"". En España, los expertos estiman que más de 12 millones de personas padecen problemas relacionados con la obesidad y el sobrepeso. Está claro que la actividad física y una alimentación adecuada se erigen en los principales antídotos contra la obesidad. PARTICIPANTES: Socorro Coral Calvo Bruzos, profesora de nutrición y dietética, Facultad de Ciencias UNED; Pedro J. Benito Peinado, profesor del Departamento de Salud y Rendimiento Humano, Facultad de Ciencias de la Actividad Física y del Deporte, INEF, Universidad Politécnica de Madrid. PALABRAS CLAVE: Obesidad, sobrepeso, alimentación, nutrición, vida activa, ejercicio físico, deporte, estilo de vida";"Actividad física y nutrición ante la obesidad";"";"UNED (2013-04-02-sd-cc-32029)";"";"Juan Ramón Andrés Cabero";"02/04/2013";"";"";"";"false";"02/04/2013 16:00";"02/04/2013 23:59";"false";"false";"";"false";"/resources/mp3/4/2/1363955224924.mp3";"";"/resources/mp3/9/5/1363955229859.mp3";"/resources/mp3/9/3/1363955230639.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"/resources/pdf/8/3/1363955431038.pdf (5487)
                    ";"PUB";
    11616;"02 Apr 2013 07:00:00";"22 Mar 2013 13:38:00";"SIN DISTANCIAS (02/04/2013)";"Programa completo, emitido en Radio Nacional.";"Programa completo, emitido en Radio Nacional.";"SIN DISTANCIAS (02/04/2013)";"";"UNED (2013-04-02-sd-3347)";"";"";"02/04/2013";"";"";"";"false";"02/04/2013 08:00";"02/04/2013 16:00";"false";"false";"";"false";"/resources/mp3/8/1/1363955531618.mp3";"";"/resources/mp3/5/8/1363955611285.mp3";"/resources/mp3/5/6/1363955613065.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"";"PUB";
    11615;"02 Apr 2013 07:00:00";"22 Mar 2013 14:33:00";"El valor del colegio profesional para los nuevos ingenieros industriales";"Ingeniería - El programa se acerca al Colegio Oficial de Ingenieros Industriales de Madrid. Creado en 1950 con el objetivo de facilitar el profeso de la profesión en relación...";"Ingeniería - El programa se acerca al Colegio Oficial de Ingenieros Industriales de Madrid. Creado en 1950 con el objetivo de facilitar el profeso de la profesión en relación con las necesidades de la ingeniería, en particular, y de las empresas y la sociedad, en particular. El COIIM presta servicio a sus colegiados y les facilita el ejercicio de su profesión. Con más de 11.000 colegiados, integra, además de Madrid, varias provincias de las dos Castillas. En los últimos años, está impulsando sus actividades en el ámbito de la ingeniería industrial para contribuir al desarrollo de la sociedad. Desde hace unos meses, los alumnos de la Escuela de Ingenieros Industriales de la UNED se benefician del convenio que la Escuela ha suscrito con el Colegio para la realización de prácticas, proyectos fin de carrera y fin de máster y la bolsa de trabajo para los futuros ingenieros industriales. PARTICIPANTES: José Ignacio Pedrero Moya, director de la Escuela Técnica Superior de Ingenieros Industriales de la UNED; María Teresa Estevan Bolea, decana del Colegio Oficial de Ingenieros Industriales de Madrid COIIM; José Luis Layda Ferrer, asesor del Colegio Oficial de Ingenieros Industriales de Madrid COIIM; José Francisco Morales Calderón, director de Comunicación y Relaciones Externas del Colegio Oficial de Ingenieros Industriales de Madrid COIIM. PALABRAS CLAVE: Colegio Oficial de Ingenieros Industriales de Madrid, COIIM, ingeniería industrial, formación continua, proyectos, bolsa de trabajo.";"El valor del colegio profesional para los nuevos ingenieros industriales";"";"UNED (2013-04-02-sd-ing-32030)";"";"Juan Ramón Andrés Cabero";"02/04/2013";"";"";"";"false";"02/04/2013 00:01";"02/04/2013 08:00";"false";"false";"";"false";"/resources/mp3/7/4/1363955247947.mp3";"";"/resources/mp3/5/3/1363955249235.mp3";"/resources/mp3/0/3/1363955249930.mp3";"INGENIERÍA INDUSTRIAL";"Audios";"RC";"";"";"";"";"/resources/pdf/4/1/1363959173414.pdf (5488)
                    ";"PUB";
    11607;"01 Apr 2013 07:00:00";"22 Mar 2013 12:59:00";"Cómo enseñar varias lenguas a los alumnos en Centros Penitenciarios";"Filología - La situación de los Centros Penitenciarios refleja la realidad social: convivencia de personas de distintas nacionalidades,...";"Filología - La situación de los Centros Penitenciarios refleja la realidad social: convivencia de personas de distintas nacionalidades, lenguas y culturas. En este espacio se analiza esa situación desde el punto de vista lingüístico y se trata de crear un código común basado en varias lenguas que permitan entenderse y comunicarse a los internos en Centros Penitenciarios. PARTICIPANTES: Araceli Gómez Fernández, profesora de Filología Francesa, UNED, PALABRAS CLAVE: plurilingüismo en centros penitenciarios, multiculturalidad.";"Cómo enseñar varias lenguas a los alumnos en Centros Penitenciarios";"";"UNED (2013-04-01-sd-filol2-31963)";"";"Miguel Minaya Vara";"01/04/2013";"";"";"";"false";"01/04/2013 20:00";"01/04/2013 23:59";"false";"false";"";"false";"/resources/mp3/5/2/1363770342725.mp3";"";"/resources/mp3/0/0/1363770344200.mp3";"/resources/mp3/3/1/1363770345013.mp3";"FILOLOGÍA";"Audios";"RC";"";"";"";"";"/resources/pdf/1/8/1363948423381.pdf (5483)
                    ";"PUB";
    11609;"01 Apr 2013 07:00:00";"20 Mar 2013 10:30:00";"SIN DISTANCIAS (01/04/2013)";"Programa completo, emitido en Radio Nacional.";"Programa completo, emitido en Radio Nacional.";"SIN DISTANCIAS (01/04/2013)";"";"UNED (2013-04-01-sd-3343)";"";"";"01/04/2013";"";"";"";"false";"01/04/2013 08:00";"01/04/2013 12:00";"false";"false";"";"false";"/resources/mp3/4/6/1363770594864.mp3";"";"/resources/mp3/8/0/1363770628408.mp3";"/resources/mp3/0/2/1363770630520.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"";"PUB";
    11606;"01 Apr 2013 07:00:00";"20 Mar 2013 11:43:00";"Guillermo Zúñiga. La vocación por el cine y la ciencia";"Caminos de ida y vuelta - Guillermo Fernández López Zúñiga, pionero y excepcional impulsor del cine científico en España. Desde sus actividadesculturales en la Segunda República...";"Caminos de ida y vuelta - Guillermo Fernández López Zúñiga, pionero y excepcional impulsor del cine científico en España. Desde sus actividades culturales en la Segunda República, a la experiencia del exilio en Francia y Argentina, su labor como productor cinematográfico, y cineasta científico. Zúñiga lideró la creación de la Asociación de Cine Científico (ASECIC) en el año 1966. Una vida dedicada al cine, a la ciencia, a la fotografía de la que dejó un impresionante legado. Desde la radio nuestro homenaje. PARTICIPANTES: Mª Luisa Ortega Gálvez, profesora de Comunicación Audiovisual (UAM); Teresa Fernández Muñoz, colaboradora en el Consejo de Investigaciones Científicas; María García Alonso, profesora de Sociología (UNED); Isabel Baeza Fernández. PALABRAS CLAVE: cine, ciencia, cine científico, fotografía, memoria visual, películas científicas";"Guillermo Zúñiga. La vocación por el cine y la ciencia";"";"UNED (2013-04-01-caminos-guillermo-zuniga-4221)";"";"Mª Isabel Baeza Fernández";"01/04/2013";"";"";"";"false";"01/04/2013 00:01";"01/04/2013 04:00";"false";"false";"";"false";"/resources/mp3/9/6/1363770258669.mp3";"";"/resources/mp3/9/8/1363770273889.mp3";"/resources/mp3/5/2/1363770275125.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"/resources/pdf/7/8/1363775948587.pdf (5473)
                    ";"PUB";
    11613;"01 Apr 2013 07:00:00";"22 Mar 2013 13:02:00";"José Manuel Caballero Bonald: doctor honoris causa UNED";"Filología - Contiene parte del discurso pronunciado por el escritor José Manuel Caballero Bonald,...";"Filología - Contiene parte del discurso pronunciado por el escritor José Manuel Caballero Bonald, con motivo de la aceptación del título de doctor honoris causa. Este título le fue concedido por la UNED, a propuesta de la facultad de Filología, el 28 de febrero de 2013. PALABRAS CLAVE: literatura española S XX, premio Cervantes 2012";"José Manuel Caballero Bonald: doctor honoris causa UNED";"";"UNED (2013-04-01-sd-filol 1-31960)";"";"Miguel Minaya Vara";"01/04/2013";"";"";"";"false";"01/04/2013 16:00";"01/04/2013 20:00";"false";"false";"";"false";"/resources/mp3/1/5/1363953260351.mp3";"";"/resources/mp3/9/8/1363953260589.mp3";"/resources/mp3/6/8/1363953260886.mp3";"FILOLOGÍA";"Audios";"RC";"";"";"";"";"/resources/pdf/6/8/1363953646786.pdf (5486)
                    ";"PUB";
    11608;"01 Apr 2013 07:00:00";"20 Mar 2013 10:27:00";"Aspectos psicosociales de las drogodependencias: Drogas ilegales";"Formación Continua -Las drogas de mayor consumo en España son el alcohol y el tabaco...";"Formación Continua -Las drogas de mayor consumo en España son el alcohol y el tabaco. El cánnabis continúa siendo la droga ilegal más consumida, especialmente por los jóvenes. Son datos de la última encuesta del Plan Nacional sobre Drogas que analizamos con tres expertos. PARTICIPANTES: Emilio Ambrosio Flores, catedrático de Psicobiología (UNED); José Oñorbe de Torre, Subdirector de Coordinación del Plan Nacional sobre Drogas; Julia González Alonso, Directora del Observatorio Español sobre Drogas. PALABRAS CLAVE: cánnabis, banalización del consumo de drogas, consumo de drogas por menores";"Aspectos psicosociales de las drogodependencias: Drogas ilegales";"";"UNED (2013-04-01-sd-fc-31947)";"";"Lourdes Nieto Quintas";"01/04/2013";"";"";"";"false";"01/04/2013 12:00";"01/04/2013 16:00";"false";"false";"";"false";"/resources/mp3/3/6/1363770343463.mp3";"";"/resources/mp3/6/3/1363770345336.mp3";"/resources/mp3/6/1/1363770345916.mp3";"FORMACIÓN CONTINUA";"Audios";"RC";"";"";"";"";"/resources/pdf/5/2/1363771542425.pdf (5472)
                    ";"PUB";
    11605;"01 Apr 2013 07:00:00";"20 Mar 2013 11:49:00";"Del Shannon";"HELIOTROPO - Con el nombre artístico de Del Shannon, Charles Westover, colocó en las listas de popularidad de Estados Unidos a comienzos de los años 60 su tema ""Runaway""...";"HELIOTROPO - Con el nombre artístico de Del Shannon, Charles Westover, colocó en las listas de popularidad de Estados Unidos a comienzos de los años 60 su tema ""Runaway"" (fugitiva), que se convirtió en una pieza legendaria, caracterizada por el falsete y el empleo de una especie de sintetizador al que llamo musitrón. El siguiente sencillo Hats off to Harry, confirmó a Del Shanonn como uno de los principales protagonistas estadounidenses de la música a principios de los 60. En la década de los 70 su carrera se detuvo por problemas personales aunque volvió a grabar una década más tarde. PARTICIPANTES: Isabel Baeza Fernández; Carlos Martín de Abuín PALABRAS CLAVE: Rock and Roll, Runaway, musitrón, So long baby, Out of time, Del Shannon.";"Del Shannon";"";"UNED (2013-04-01-helio-del-shannon-4220)";"";"Mª Isabel Baeza Fernández";"01/04/2013";"";"";"";"false";"01/04/2013 04:00";"01/04/2013 08:00";"false";"false";"";"false";"/resources/mp3/1/9/1363770198191.mp3";"";"/resources/mp3/6/8/1363770209186.mp3";"/resources/mp3/0/1/1363770210610.mp3";"INFORMATIVOS Y CULTURALES";"Audios";"RC";"";"";"";"";"/resources/pdf/7/5/1363776572157.pdf (5474)
                    ";"PUB";
